Country,Electricity Exports (KWH),Electricity Imports (KWH),Electricity Installed Generating Capacity (KW),Electricity Production (KWH),Electricity Consumption (KWH),Electricity from Fossil Fuels (% of total installed capacity),Electricity from Nuclear Fuels (% of total installed capacity),Electricity from Hydroelectric Plants (% of total installed capacity),Electricity from Other Renewable Sources (% of total installed capacity),Crude Oil Production (barrels per day),Crude Oil Exports (barrels per day),Crude Oil Imports (barrels per day),Crude Oil Proved Reserves (barrels),Refined Petroleum Products Production (barrels per day),Refined Petroleum Products Consumption (barrels per day),Refined Petroleum Products Imports (barrels per day),Refined Petroleum Products Exports (barrels per day),Natural Gas Production (cubic meters),Natural Gas Consumption (cubic meters),Natural Gas Esports (cubic meters),Natural Gas Imports (cubic meters),Natural Gas Proved Reserves (cubic meters),CO2 Emissions from Energy Consumption (metric tons)
Germany,78860000000.0,28340000000.0,204100000.0,588500000000.0,514600000000.0,41.0,5.0,2.0,52.0,43410.0,6569.0,1836000.0,145400000.0,2158000.0,2460000.0,883800.0,494000.0,7900000000.0,93360000000.0,34610000000.0,119500000000.0,41990000000.0,744000000.0
Canada,73350000000.0,9303000000.0,147600000.0,643200000000.0,516600000000.0,23.0,9.0,56.0,12.0,3977000.0,2818000.0,806700.0,169700000000.0,2009000.0,2445000.0,405700.0,1115000.0,159100000000.0,124400000000.0,83960000000.0,26360000000.0,2182000000000.0,564000000.0
France,61410000000.0,20790000000.0,129300000.0,536100000000.0,436100000000.0,17.0,50.0,15.0,19.0,15170.0,0.0,1147000.0,72350000.0,1311000.0,1705000.0,886800.0,440600.0,16990000.0,41880000000.0,6031000000.0,48590000000.0,8608000000.0,385600000.0
Paraguay,41130000000.0,0.0,8870000.0,55190000000.0,10470000000.0,0.0,0.0,99.0,1.0,0.0,0.0,0.0,0.0,0.0,43000.0,40760.0,0.0,0.0,0.0,0.0,0.0,0.0,3900000.0
Switzerland,30170000000.0,34100000000.0,19620000.0,64060000000.0,58450000000.0,3.0,18.0,67.0,13.0,0.0,0.0,57400.0,0.0,61550.0,223900.0,165100.0,7345.0,0.0,3709000000.0,0.0,3681000000.0,,45000000.0
Sweden,26020000000.0,14290000000.0,39670000.0,154300000000.0,125400000000.0,5.0,22.0,42.0,32.0,0.0,14570.0,400200.0,0.0,413200.0,323100.0,229600.0,371100.0,0.0,764500000.0,0.0,764500000.0,0.0,62000000.0
Czechia,24790000000.0,13820000000.0,21510000.0,77740000000.0,61160000000.0,60.0,19.0,5.0,16.0,2000.0,446.0,155900.0,15000000.0,177500.0,213700.0,83860.0,52200.0,229400000.0,8721000000.0,0.0,8891000000.0,3964000000.0,86180000.0
Netherlands,19340000000.0,24260000000.0,33860000.0,102500000000.0,106000000000.0,75.0,1.0,0.0,23.0,18170.0,7984.0,1094000.0,113200000.0,1282000.0,954500.0,2148000.0,2406000.0,45330000000.0,43380000000.0,51250000000.0,51000000000.0,786600000000.0,184800000.0
Austria,19210000000.0,26370000000.0,25200000.0,67880000000.0,70700000000.0,25.0,0.0,43.0,31.0,14260.0,0.0,146600.0,43000000.0,186500.0,268000.0,135500.0,49960.0,1274000000.0,9486000000.0,5437000000.0,14020000000.0,6994000000.0,79700000.0
China,18910000000.0,6185000000.0,1646000000.0,6142000000000.0,5920000000000.0,62.0,2.0,18.0,18.0,3838000.0,57310.0,6710000.0,25620000000.0,11510000.0,12470000.0,1160000.0,848400.0,145900000000.0,238600000000.0,3370000000.0,97630000000.0,5194000000000.0,9135000000.0
South Africa,16550000000.0,10560000000.0,47280000.0,229200000000.0,207700000000.0,85.0,4.0,1.0,10.0,2000.0,0.0,404000.0,15000000.0,487100.0,621000.0,195200.0,105600.0,906100000.0,5069000000.0,0.0,4162000000.0,15010000000.0,482000000.0
Norway,15530000000.0,5700000000.0,33850000.0,149500000000.0,133100000000.0,3.0,0.0,93.0,4.0,1618000.0,1383000.0,36550.0,6611000000.0,371600.0,205300.0,135300.0,432800.0,123900000000.0,4049000000.0,120200000000.0,5663000.0,1856000000000.0,53900000.0
Spain,14180000000.0,21850000000.0,106700000.0,267100000000.0,240400000000.0,47.0,7.0,14.0,32.0,2252.0,0.0,1325000.0,150000000.0,1361000.0,1296000.0,464800.0,562400.0,36810000.0,31270000000.0,2888000000.0,34630000000.0,2548000000.0,276000000.0
Russia,13130000000.0,3194000000.0,263500000.0,1008000000000.0,890100000000.0,68.0,11.0,21.0,1.0,10580000.0,4921000.0,76220.0,80000000000.0,6076000.0,3650000.0,41920.0,2671000.0,665600000000.0,467500000000.0,210200000000.0,15770000000.0,47800000000000.0,1756000000.0
Uzbekistan,13000000000.0,13000000000.0,12930000.0,59000000000.0,48000000000.0,86.0,0.0,14.0,0.0,46070.0,27000.0,420.0,594000000.0,61740.0,60000.0,0.0,3977.0,52100000000.0,43070000000.0,9401000000.0,0.0,1841000000000.0,109000000.0
Mozambique,12880000000.0,10550000000.0,2556000.0,19580000000.0,13860000000.0,16.0,0.0,83.0,1.0,0.0,0.0,0.0,0.0,0.0,26000.0,25130.0,0.0,6003000000.0,1841000000.0,4162000000.0,0.0,2832000000000.0,3900000.0
Poland,12020000000.0,14020000000.0,37320000.0,152100000000.0,141300000000.0,79.0,0.0,2.0,19.0,20070.0,4451.0,493100.0,137800000.0,554200.0,649600.0,222300.0,104800.0,5748000000.0,20100000000.0,1246000000.0,15720000000.0,81660000000.0,257600000.0
Romania,11220000000.0,4492000000.0,24030000.0,62160000000.0,48280000000.0,47.0,6.0,29.0,19.0,73740.0,2076.0,145300.0,600000000.0,232600.0,198000.0,49420.0,103000.0,10870000000.0,11580000000.0,22650000.0,1218000000.0,105500000000.0,60780000.0
Slovakia,10600000000.0,13250000000.0,7110000.0,24850000000.0,25870000000.0,36.0,27.0,24.0,13.0,200.0,1022.0,111200.0,9000000.0,131300.0,85880.0,38340.0,81100.0,104800000.0,4672000000.0,0.0,4984000000.0,14160000000.0,28120000.0
Denmark,9919000000.0,14980000000.0,14010000.0,27340000000.0,31410000000.0,46.0,0.0,0.0,54.0,137100.0,82980.0,98240.0,490600000.0,183900.0,158500.0,109700.0,133700.0,4842000000.0,3115000000.0,2237000000.0,509700000.0,16880000000.0,42000000.0
Portugal,9701000000.0,4616000000.0,19630000.0,49660000000.0,47030000000.0,41.0,0.0,25.0,35.0,0.0,0.0,285200.0,0.0,323000.0,247200.0,78700.0,143500.0,0.0,6258000000.0,0.0,6541000000.0,0.0,43980000.0
United States,9695000000.0,80660000000.0,1074000000.0,4088000000000.0,3911000000000.0,70.0,9.0,7.0,14.0,9352000.0,1158000.0,7969000.0,36520000000.0,20300000.0,19960000.0,2175000.0,5218000.0,772800000000.0,767600000000.0,89700000000.0,86150000000.0,8714000000000.0,5402000000.0
Bulgaria,9187000000.0,3706000000.0,12700000.0,45040000000.0,35240000000.0,39.0,20.0,23.0,19.0,1000.0,0.0,133900.0,15000000.0,144300.0,97000.0,49260.0,92720.0,79280000.0,3313000000.0,31150000.0,3256000000.0,5663000000.0,42980000.0
Laos,8469000000.0,2050000000.0,4541000.0,11460000000.0,4239000000.0,28.0,0.0,72.0,1.0,0.0,0.0,0.0,0.0,0.0,18000.0,17460.0,0.0,0.0,0.0,0.0,0.0,0.0,500000.0
Belgium,8465000000.0,14650000000.0,21150000.0,64780000000.0,81960000000.0,35.0,28.0,1.0,36.0,0.0,0.0,687600.0,0.0,731700.0,648600.0,601400.0,680800.0,0.0,17610000000.0,736200000.0,18090000000.0,0.0,93620000.0
Slovenia,7972000000.0,8205000000.0,3738000.0,16330000000.0,16560000000.0,37.0,20.0,34.0,9.0,5.0,0.0,0.0,0.0,0.0,52140.0,93060.0,29350.0,8000000.0,906100000.0,2832000.0,906100000.0,0.0,11520000.0
Mexico,7308000000.0,392000000.0,65450000.0,292700000000.0,245200000000.0,71.0,2.0,17.0,9.0,1981000.0,1214000.0,0.0,7640000000.0,844600.0,1984000.0,867500.0,155800.0,31570000000.0,81610000000.0,36810000.0,50120000000.0,355700000000.0,455000000.0
Iran,6822000000.0,4148000000.0,72940000.0,265100000000.0,220900000000.0,84.0,1.0,15.0,0.0,4469000.0,750200.0,0.0,158400000000.0,1764000.0,1804000.0,64160.0,397200.0,214500000000.0,206900000000.0,11640000000.0,3993000000.0,33500000000000.0,650400000.0
Serbia,6428000000.0,5065000000.0,7594000.0,38110000000.0,26780000000.0,65.0,0.0,35.0,1.0,18740.0,123.0,40980.0,77500000.0,74350.0,74000.0,18720.0,15750.0,509700000.0,2718000000.0,0.0,2010000000.0,48140000000.0,56550000.0
Italy,6155000000.0,43180000000.0,117000000.0,269300000000.0,296000000000.0,54.0,0.0,14.0,32.0,77530.0,13790.0,1341000.0,556700000.0,1607000.0,1236000.0,422500.0,615900.0,5550000000.0,75150000000.0,271800000.0,69660000000.0,49130000000.0,362000000.0
Bosnia and Herzegovina,6007000000.0,3872000000.0,4243000.0,14970000000.0,11440000000.0,49.0,0.0,51.0,1.0,0.0,0.0,18480.0,0.0,0.0,32000.0,18280.0,4603.0,0.0,226500000.0,0.0,226500000.0,0.0,17000000.0
Bhutan,5763000000.0,84160000.0,1623000.0,7954000000.0,2009000000.0,1.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3120.0,0.0,0.0,0.0,0.0,0.0,0.0,518100.0
Estonia,5613000000.0,3573000000.0,2547000.0,12180000000.0,7664000000.0,72.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,28300.0,35520.0,27150.0,0.0,481400000.0,0.0,481400000.0,0.0,4500000.0
Hungary,5240000000.0,17950000000.0,8468000.0,28670000000.0,38660000000.0,64.0,22.0,1.0,13.0,14000.0,2713.0,121000.0,25100000.0,152400.0,167700.0,82110.0,58720.0,1812000000.0,10390000000.0,3520000000.0,13370000000.0,7702000000.0,44450000.0
Israel,5200000000.0,0.0,17220000.0,60440000000.0,52780000000.0,95.0,0.0,0.0,5.0,390.0,0.0,231600.0,12730000.0,294300.0,242200.0,98860.0,111700.0,9826000000.0,9995000000.0,0.0,509700000.0,176000000000.0,62500000.0
India,5150000000.0,5244000000.0,308800000.0,1289000000000.0,1048000000000.0,71.0,2.0,12.0,16.0,733900.0,0.0,4057000.0,4534000000.0,4897000.0,4521000.0,653300.0,1305000.0,31540000000.0,55430000000.0,76450000.0,23960000000.0,1164000000000.0,2271000000.0
Kazakhstan,5100000000.0,1200000000.0,22060000.0,103100000000.0,97600000000.0,86.0,0.0,14.0,1.0,1777000.0,1409000.0,1480.0,30000000000.0,290700.0,274000.0,39120.0,105900.0,22410000000.0,15370000000.0,12800000000.0,5748000000.0,2407000000000.0,257800000.0
Latvia,3795000000.0,4828000000.0,2935000.0,5342000000.0,6712000000.0,39.0,0.0,53.0,8.0,0.0,0.0,0.0,0.0,0.0,44600.0,54370.0,16180.0,0.0,1218000000.0,0.0,1246000000.0,0.0,7260000.0
Ukraine,3591000000.0,2241000000.0,56920000.0,152200000000.0,133400000000.0,65.0,23.0,8.0,3.0,29650.0,413.0,4720.0,395000000.0,63670.0,233000.0,167000.0,1828.0,19730000000.0,30920000000.0,0.0,12970000000.0,1104000000000.0,291000000.0
Belarus,3482000000.0,6104000000.0,10080000.0,32040000000.0,31750000000.0,96.0,0.0,1.0,3.0,32000.0,31730.0,468400.0,198000000.0,477200.0,141000.0,14630.0,351200.0,59460000.0,17700000000.0,0.0,17530000000.0,2832000000.0,70000000.0
Turkmenistan,3201000000.0,0.0,4001000.0,21180000000.0,15090000000.0,100.0,0.0,0.0,0.0,0.0,67790.0,0.0,600000000.0,191100.0,160000.0,0.0,53780.0,77450000000.0,39310000000.0,38140000000.0,0.0,7504000000000.0,67000000.0
Croatia,3200000000.0,8731000000.0,4881000.0,12820000000.0,18650000000.0,45.0,0.0,40.0,16.0,14000.0,0.0,55400.0,69360000.0,74620.0,73000.0,35530.0,40530.0,1048000000.0,2577000000.0,172700000.0,1841000000.0,16170000000.0,15690000.0
Finland,3159000000.0,22110000000.0,16400000.0,66200000000.0,85150000000.0,41.0,17.0,20.0,23.0,0.0,0.0,236700.0,0.0,310600.0,217100.0,122200.0,166200.0,0.0,2350000000.0,4000000.0,2322000000.0,,43000000.0
Thailand,2267000000.0,14410000000.0,40970000.0,167900000000.0,168300000000.0,76.0,0.0,8.0,16.0,239700.0,790.0,875400.0,396400000.0,1328000.0,1326000.0,134200.0,278300.0,38590000000.0,52640000000.0,0.0,14410000000.0,206800000000.0,301000000.0
United Kingdom,2153000000.0,19700000000.0,94640000.0,309800000000.0,301600000000.0,50.0,9.0,2.0,39.0,910500.0,710600.0,907100.0,2564000000.0,1290000.0,1584000.0,907500.0,613800.0,42110000000.0,79170000000.0,11270000000.0,47000000000.0,207200000000.0,568300000.0
Albania,1869000000.0,1827000000.0,1897000.0,7135000000.0,7094000000.0,5.0,0.0,95.0,0.0,16000.0,17290.0,0.0,168300000.0,5638.0,29000.0,26660.0,3250.0,50970000.0,50970000.0,0.0,0.0,821200000.0,4300000.0
Guatemala,1858000000.0,891400000.0,4072000.0,11490000000.0,10020000000.0,41.0,0.0,31.0,28.0,9666.0,9383.0,0.0,83070000.0,1162.0,89000.0,97900.0,10810.0,0.0,0.0,0.0,0.0,2960000000.0,13600000.0
Ireland,1583000000.0,871000000.0,9557000.0,25200000000.0,23790000000.0,65.0,0.0,2.0,33.0,0.0,5900.0,66210.0,0.0,64970.0,153700.0,126600.0,37040.0,3511000000.0,5238000000.0,0.0,1642000000.0,9911000000.0,34000000.0
Turkey,1442000000.0,6400000000.0,73150000.0,245800000000.0,213200000000.0,53.0,0.0,33.0,14.0,245000.0,0.0,521500.0,388500000.0,657900.0,989900.0,560000.0,141600.0,368100000.0,53600000000.0,622900000.0,55130000000.0,18490000000.0,319000000.0
Armenia,1424000000.0,174000000.0,4068000.0,7393000000.0,5331000000.0,58.0,9.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,8000.0,7145.0,0.0,0.0,2350000000.0,0.0,2350000000.0,0.0,12000000.0
