State,Wildland Fires,Wildland Acres,Rx Fires,Rx Acres,WFU Fires,WFU Acres
AK,707,6645978,6,55901,3,66917
AL,2853,40033,99,80684,0,0
AR,1229,21182,228,226095,0,0
AZ,2602,219900,657,66199,21,7482
CA,8415,242057,743,79158,56,8369
CO,1290,24996,212,47788,40,9599
CT,74,94,12,185,0,0
DE,0,0,0,0,0,0
FL,3363,169789,535,368098,1,3007
GA,6257,27500,101,68461,0,0
HI,1,656,0,0,0,0
IA,26,585,86,7727,0,0
ID,1098,13981,478,67556,65,4501
IL,38,476,20,1242,0,0
IN,879,3351,74,17521,0,0
KS,42,9066,111,26891,0,0
KY,1531,28247,43,20871,0,0
LA,1211,25575,171,145469,0,0
MA,1767,1534,23,495,0,0
MD,244,3147,51,1870,0,0
ME,488,960,27,315,0,0
MI,474,2754,167,11467,2,1
MN,2035,42881,595,86990,2,1436
MO,2073,32542,62,24780,0,0
MS,140,3002,239,268351,0,0
MT,1455,18446,787,44634,25,1294
NC,4235,20037,274,95490,0,0
ND,1039,21358,152,26782,0,0
NE,24,400,56,9615,3,295
NH,468,289,23,240,0,0
NJ,880,549,143,14654,0,0
NM,1063,83238,126,83317,17,9041
NV,955,39794,27,6017,17,494
NY,67,390,18,266,0,0
OH,430,3126,44,4714,0,0
OK,1616,58893,48,11804,0,0
OR,2266,30018,1055,138880,8,1202
PA,3,3,1,115,0,0
PR,0,0,0,0,0,0
RI,70,81,1,3,0,0
SC,3242,23584,179,77080,0,0
SD,365,1465,51,16901,0,0
TN,1525,15080,21,20957,0,0
TX,609,24328,102,119873,0,0
UT,1530,76654,83,22667,30,10100
VA,923,5587,44,14151,0,0
VT,81,244,28,595,0,0
WA,1674,92617,224,33129,11,876
WI,1164,2385,524,21816,0,0
WV,608,6007,6,150,0,0
WY,332,13021,83,24322,8,4
