State,Wildland Fires,Wildland Acres,Rx Fires,Rx Acres
AK,527,2951597,1,290
AL,28,840,127,90359
AR,1125,19229,262,195285
AZ,2371,263358,2097,147531
CA,9159,405585,841,93940
CO,1190,50456,225,25674
CT,264,246,6,76
DE,19,44,6,92
FL,2939,156102,432,402967
GA,3732,13714,176,100167
HI,1,7800,0,0
IA,718,8565,621,33339
ID,1142,22681,397,33895
IL,115,1155,250,14833
IN,2083,4706,289,13134
KS,100,40278,90,16844
KY,1432,43741,37,18758
LA,1578,29272,12,9849
MA,1121,1144,21,213
MD,414,4956,76,1353
ME,482,481,38,212
MI,508,3899,128,14150
MN,1371,13858,741,158160
MO,2957,42241,602,95268
MS,2366,31280,25,8800
MT,1731,48912,377,38433
NC,3344,25142,641,156225
ND,302,3404,110,24714
NE,44,1164,74,11397
NH,289,159,31,182
NJ,775,1131,4,71
NM,1278,421481,76,99132
NV,688,33366,16,3108
NY,158,1404,23,410
OH,1164,10962,15,4487
OK,1773,153948,14,5383
OR,1488,100668,750,130654
PA,630,6132,10,409
RI,49,45,1,0
SC,1526,7663,703,113004
SD,823,10056,174,40145
TN,1448,18704,18,25967
TX,16614,753261,151,172826
UT,1136,112753,147,28173
VA,920,8002,37,17392
VT,84,192,18,355
WA,1976,77250,135,26419
WI,1640,3746,659,31221
WV,941,13591,7,155
WY,370,23123,80,16299
