State,Wilsland Fires,Wildland Acres,Rx Fires,Rx Acres
AK,603,1316876,16,5177
AL,1284,25623,132,113070
AR,881,14733,198,179216
AZ,1756,105281,134,49491
CA,9907,577675,542,48544
CO,1176,195145,192,16321
CT,76,238,4,37
DE,4,17,20,200
FL,101,7660,430,339368
GA,2942,6736,206,131514
HI,0,0,0,0
IA,436,14704,258,18448
ID,1471,722204,312,28894
IL,24,55,178,16517
IN,19,806,36,4229
KS,16,7137,11,1314
KY,1030,25084,30,15359
LA,1027,17883,21,15262
MA,1132,879,45,630
MD,126,182,68,2607
ME,426,743,23,303
MI,436,940,88,6697
MN,1115,22107,333,48837
MO,51,1660,12,5587
MS,5,33,25,18545
MT,1723,124209,434,35221
NC,3514,24547,1355,146229
ND,515,16116,34,5176
NE,10,63,13,6242
NH,85,137,18,158
NJ,1013,1430,0,0
NM,1064,221951,45,16474
NV,763,162907,30,1665
NY,138,1073,40,898
OH,31,152,3,1789
OK,610,26490,18,3774
OR,2848,350786,483,74684
PA,639,1788,119,7639
PR,750,4716,0,0
RI,7,27,0,0
SC,1337,7082,11878,390504
SD,889,4475,98,27263
TN,424,7080,21,22323
TX,70,10743,96,118951
UT,1276,70282,111,14029
VA,482,4418,20,22409
VT,124,281,34,521
WA,1527,152603,152,13145
WI,671,9196,393,18499
WV,557,8577,1,811
WY,468,44016,54,5469
