Rank,Country (or dependency),Population (2018),Yearly Change %,Net Change,Density (P/Km?),Land Area (Km?),Migrants (net), Fert. Rate,Med. Age,Urban Pop %
1,China,1415045928.0,0.39,5528531.0,151.0,9388211.0,-339690,1.6,37,58
2,India,1354051854.0,1.11,14871727.0,455.0,2973190.0,-515643,2.4,27,32
3,U.S.,326766748.0,0.71,2307285.0,36.0,9147420.0,900000,1.9,38,83
4,Indonesia,266794980.0,1.06,2803601.0,147.0,1811570.0,-167000,2.5,28,54
5,Brazil,210867954.0,0.75,1579676.0,25.0,8358140.0,3185,1.8,31,84
6,Pakistan,200813818.0,1.93,3797863.0,260.0,770880.0,-236384,3.7,22,38
7,Nigeria,195875237.0,2.61,4988926.0,215.0,910770.0,-60000,5.7,18,49
8,Bangladesh,166368149.0,1.03,1698398.0,1278.0,130170.0,-505297,2.2,26,35
9,Russia,143964709.0,-0.02,-25045.0,9.0,16376870.0,203577,1.7,39,73
10,Mexico,130759074.0,1.24,1595798.0,67.0,1943950.0,-60000,2.3,28,78
11,Japan,127185332.0,-0.23,-299118.0,349.0,364555.0,71627,1.4,46,94
12,Ethiopia,107534882.0,2.46,2577444.0,108.0,1000000.0,-12000,4.6,19,20
13,Philippines,106512074.0,1.52,1593984.0,357.0,298170.0,-130000,3.1,24,44
14,Egypt,99375741.0,1.87,1822590.0,100.0,995450.0,-55005,3.4,25,38
15,Viet Nam,96491146.0,0.99,950346.0,311.0,310070.0,-40000,2.0,30,34
16,DR Congo,84004989.0,3.28,2665001.0,37.0,2267050.0,3012,6.4,17,39
17,Germany,82293457.0,0.22,179233.0,236.0,348560.0,355425,1.4,46,76
18,Iran,82011735.0,1.05,848947.0,50.0,1628550.0,-80000,1.7,30,74
19,Turkey,81916871.0,1.45,1171851.0,106.0,769630.0,325434,2.1,30,71
20,Thailand,69183173.0,0.21,145660.0,135.0,510890.0,33463,1.5,38,52
21,U.K.,66573504.0,0.59,391919.0,275.0,241930.0,198000,1.9,40,81
22,France,65233271.0,0.39,253723.0,119.0,547557.0,72344,2.0,41,80
23,Italy,59290969.0,-0.12,-68931.0,202.0,294140.0,52829,1.4,46,72
24,Tanzania,59091392.0,3.11,1781373.0,67.0,885800.0,-40000,5.2,17,31
25,South Africa,57398421.0,1.2,681265.0,47.0,1213090.0,161300,2.6,26,62
26,Myanmar,53855735.0,0.91,485126.0,82.0,653290.0,-94856,2.3,28,36
27,South Korea,51164435.0,0.36,182223.0,526.0,97230.0,33927,1.2,41,81
28,Kenya,50950879.0,2.52,1251017.0,90.0,569140.0,-10000,4.1,19,26
29,Colombia,49464683.0,0.81,399068.0,45.0,1109500.0,-29000,1.9,30,79
30,Spain,46397452.0,0.09,43131.0,93.0,498800.0,-114000,1.3,43,82
31,Argentina,44688864.0,0.94,417823.0,16.0,2736690.0,6000,2.3,31,88
32,Uganda,44270563.0,3.28,1407605.0,222.0,199810.0,-30000,5.9,16,16
33,Ukraine,44009214.0,-0.48,-213733.0,76.0,579320.0,-40000,1.5,40,70
34,Algeria,42008054.0,1.67,689912.0,18.0,2381740.0,-28654,3.0,28,72
35,Sudan,41511526.0,2.41,978196.0,24.0,1765048.0,-117877,4.8,19,34
36,Iraq,39339753.0,2.78,1065135.0,91.0,434320.0,92733,4.6,19,67
37,Poland,38104832.0,-0.17,-65880.0,124.0,306230.0,-14799,1.3,40,61
38,Canada,36953765.0,0.9,329566.0,4.0,9093510.0,229144,1.6,41,81
39,Afghanistan,36373176.0,2.37,843095.0,56.0,652860.0,89601,5.3,17,25
40,Morocco,36191805.0,1.27,452225.0,81.0,446300.0,-61422,2.6,28,59
41,Saudi Arabia,33554343.0,1.87,616130.0,16.0,2149690.0,318000,2.7,30,77
42,Peru,32551815.0,1.2,386330.0,25.0,1280000.0,-48000,2.5,27,78
43,Venezuela,32381221.0,1.26,404156.0,37.0,882050.0,-13824,2.4,27,88
44,Uzbekistan,32364996.0,1.42,454355.0,76.0,425400.0,-13294,2.4,26,34
45,Malaysia,32042458.0,1.32,418194.0,98.0,328550.0,156330,2.1,28,75
46,Angola,30774205.0,3.32,990012.0,25.0,1246700.0,17464,6.0,16,36
47,Mozambique,30528673.0,2.9,859839.0,39.0,786380.0,-5000,5.5,17,31
48,Nepal,29624035.0,1.09,319037.0,207.0,143350.0,-74474,2.3,23,19
49,Ghana,29463643.0,2.18,630014.0,129.0,227540.0,-10000,4.2,20,53
50,Yemen,28915284.0,2.35,664864.0,55.0,527970.0,-15002,4.4,19,33
51,Madagascar,26262810.0,2.71,691915.0,45.0,581795.0,-1500,4.4,19,35
52,North Korea,25610672.0,0.47,119707.0,213.0,120410.0,-5403,2.0,34,61
53,C?te d'Ivoire,24905843.0,2.52,611093.0,78.0,318000.0,12000,5.1,18,50
54,Australia,24772247.0,1.32,321686.0,3.0,7682300.0,182621,1.9,37,89
55,Cameroon,24678234.0,2.6,624507.0,52.0,472710.0,-7200,5.0,18,55
56,Taiwan,23694089.0,0.29,67633.0,669.0,35410.0,34000,1.1,40,77
57,Niger,22311375.0,3.88,834027.0,18.0,1266700.0,-5699,7.4,15,18
58,Sri Lanka,20950041.0,0.35,73124.0,334.0,62710.0,-96954,2.1,32,19
59,Burkina Faso,19751651.0,2.91,558269.0,72.0,273600.0,-25000,5.6,17,30
60,Romania,19580634.0,-0.5,-98672.0,85.0,230170.0,-59999,1.5,41,60
61,Malawi,19164728.0,2.91,542624.0,203.0,94280.0,-6000,4.9,17,16
62,Mali,19107706.0,3.05,565726.0,16.0,1220190.0,-60490,6.4,16,38
63,Kazakhstan,18403860.0,1.1,199361.0,7.0,2699700.0,31961,2.7,29,49
64,Syria,18284407.0,0.08,14539.0,100.0,183630.0,-831579,3.1,20,75
65,Chile,18197209.0,0.79,142483.0,24.0,743532.0,16164,1.8,34,90
66,Zambia,17609178.0,3.01,515048.0,24.0,743390.0,-6898,5.2,17,39
67,Guatemala,17245346.0,1.96,331843.0,161.0,107160.0,-10026,3.2,21,52
68,Netherlands,17084459.0,0.28,48521.0,507.0,33720.0,12537,1.7,42,91
69,Zimbabwe,16913261.0,2.32,383357.0,44.0,386850.0,-50000,4.0,19,30
70,Ecuador,16863425.0,1.44,238567.0,68.0,248360.0,-7600,2.6,27,64
71,Senegal,16294270.0,2.8,443703.0,85.0,192530.0,-19999,5.0,18,43
72,Cambodia,16245729.0,1.5,240356.0,92.0,176520.0,-30000,2.7,24,21
73,Chad,15353184.0,3.04,453190.0,12.0,1259200.0,20000,6.3,16,21
74,Somalia,15181925.0,2.98,439402.0,24.0,627340.0,-45374,6.6,17,31
75,Guinea,13052608.0,2.64,335432.0,53.0,245720.0,-50000,5.1,18,38
